ain	ein
nicht	nicht
wissent	wissend
waz	was
sy	sie
tunt	tun
vnd	und
stain	stein
vnd	und
vber	über
mich	mich
werffent	werfend
es	es
chumpt	kommt
noch	noch
der	der
tag	tag
daz	dass
man	man
wirt	wird
sprechen	sprechen
selig	selig
ist	ist
die	die
fraw	frau
dy	die
nicht	nicht
chint	kind
trait	trägt
selig	selig
sind	sind
die	die
prust	brüste
die	die
nicht	nicht
saugent	säugend
vnd	und
peginet	beginnt
sprechen	sprechen
czu	zu
den	den
pergen	bergen
vallent	fallend
vber	über
vns	uns
vnd	und
czue	zu
den	den
pedaecht	bedeckt
vns	uns
vnd	und
do	da
mier	mir
daz	das
geschicht	geschieht
waz	was
geschicht	geschieht
den	den
heiligen	heiligen
meinen	meinen
nam	man
furt	führt
auch	auch
czwen	zwei
vbelteter	übeltäter
mit	mit
im	ihm
die	die
wolt	wollt
man	man
totten	töten
/	/
daz	das
tet	tat
man	man
im	ihm
auch	auch
czu	zu
schanten	schanden
wan	wann
sy	sie
hiengen	hingen
ainenn	einen
czu	zu
seiner	seiner
rechten	rechten
hant	hand
/	/
vnd	und
den	den
andern	anderen
czu	zu
der	der
hant	hand
/	/
do	da
sprach	sprach
anshelmus	anselm
.	.
wie	wie
taeten	taten
se	sie
im	ihm
/	/
do	da
sprach	sprach
maria	maria
/	/
nu	nun
hor	höre
anshelmus	anselm
/	/
waz	was
ich	ich
dier	dir
iemerleicher	jämmerlicher
ding	ding
sagen	sagen
will	will
daz	das
chain	kein
ewbangelist	evangelist
schreibt	schreibt
/	/
do	da
sew	sie
in	ihn
prachten	brachten
an	an
die	die
do	da
sy	sie
in	ihn
totten	töten
wolten	wollten
/	/
do	da
enplosten	entblössten
se	sie
in	ihn
gar	gar
/	/
do	da
waz	war
ich	ich
gar	gar
amachtig	ohnmächtig
worden	worden
/	/
daz	dass
ich	ich
nymer	nimmer
macht	mochte
do	da
ich	ich
in	ihn
enplossen	entblössen
sach	sah
/	/
do	da
naem	nahm
ich	ich
.	.
ain	ein
tuch	tuch
von	von
meinen	meinem
hawp	haupt
/	/
vnd	und
pant	band
ims	ihm
vmb	um
sein	sein
lent	lenden
/	/
darnach	danach
legten	legten
sy	sie
daz	das
chrevcz	kreuz
auff	auf
die	die
erden	erden
vnd	und
wurffen	warfen
in	ihn
darawff	darauf
vnd	und
do	da
sy	sie
ain	ein
nagel	nagel
geslugen	geschlagen
/	/
der	der
waz	war
so	so
groz	gross
daz	dass
die	die
wunten	wunden
nicht	nicht
geplutten	bluten
mochten	mochten
/	/
als	als
gar	gar
het	hat
der	der
nagel	nagel
die	die
hant	hand
gefullet	gefüllt
/	/
vnd	und
darnach	danach
namen	nahmen
sy	sie
sail	seil
vnd	und
czugenn	zogen
im	ihm
den	den
andern	anderen
aerm	arm
domit	damit
czu	zu
den	dem
loch	loch
hin	hin
/	/
vnd	und
dieselben	dieselben
hant	hand
slugen	schlugen
sy	sie
im	ihm
an	an
/	/
also	also
daz	dass
man	man
im	ihm
all	all
seine	seine
pain	bein
sach	sah
/	/
do	da
wart	ward
derfullet	erfüllt
des	des
hern	herrn
dauicz	davids
gepot	gebot
/	/
hor	höre
tochter	tochter
vnd	und
siech	siehe
als	als
ob	ob
er	er
spreiech	spreche
hor	höre
aller	aller
liebstew	liebste
fraw	frau
die	die
haemersleg	hammerschläge
/	/
domit	damit
man	man
im	ihm
hent	hände
vnd	und
fuez	füsse
anslecht	anschlägt
/	/
vnd	und
siech	siehe
wie	wie
iemerkleich	jämmerlich
er	er
hangtt	hängt
siech	siehe
vnd	und
hor	höre
vnd	und
leid	leide
mit	mit
im	ihm
do	da
hort	hört
ich	ich
vnd	und
sach	sah
daz	das
aber	aber
ein	ein
swert	schwert
mein	mein
hercz	herz
durchstach	durchstach
darnach	danach
richtaten	richteten
sy	sie
daz	das
chrewcz	kreuz
auff	auf
mit	mit
grosser	grosser
aribait	arbeit
do	da
waz	war
es	es
also	also
hoch	hoch
daz	dass
ich	ich
die	die
fuecz	füsse
nie	nie
peruern	berühren
mocht	mochte
/	/
do	da
man	man
es	es
do	da
auffgericht	aufgerichtet
hett	hat
do	da
wurden	wurden
von	von
des	des
leibes	leibes
swer	schwere
auffgetan	aufgetan
aller	aller
seiner	seiner
wunden	wunden
vnd	und
gezert	gezerrt
daz	dass
vil	viel
plutes	blutes
von	von
henden	händen
vnd	und
fuessen	füssen
ran	rann
do	da
waz	war
ich	ich
gechlaidet	gekleidet
als	als
in	in
dem	dem
lande	land
gewondlich	gewöhnlich
waz	war
mit	mit
ainem	einem
chlaid	kleid
daz	das
pedakcht	bedeckt
daz	das
hawp	haupt
/	/
vnd	und
allen	allen
den	den
leip	leib
daz	das
waz	war
als	als
mit	mit
plut	blut
vnd	und
pesterkcht	bestärkt
/	/
do	da
sprach	sprach
anshelmus	anselm
/	/
waz	was
geschach	geschah
darnach	danach
/	/
do	da
sprach	sprach
maria	maria
/	/
do	da
se	sie
in	ihn
gechrewczt	gekreuzt
heten	hatten
/	/
do	da
tailten	teilten
sew	sie
seine	seine
chlaider	kleider
/	/
vnd	und
vber	über
sein	sein
gewant	gewand
legten	legten
sew	sie
loz	los
/	/
czuhant	sogleich
schraib	schreibe
pilatus	pilatus
ain	ein
tauel	tafel
do	da
staind	stand
an	an
ih-us	jesus
von	von
nazaret	nazareth
der	der
iuden	juden
chunich	könig
/	/
do	da
sprachen	sprachen
die	die
iuden	juden
/	/
schreib	schreibe
nicht	nicht
der	der
iuden	juden
chunig	könig
sunder	sondern
er	er
hat	hat
sich	sich
gehaissen	geheissen
der	der
iuden	juden
chunik	könig
/	/
do	da
sprach	sprach
pilatus	pilatus
/	/
daz	das
ich	ich
geschriben	geschrieben
han	habe
daz	das
han	habe
ich	ich
geschriben	geschrieben
/	/
aber	aber
die	die
den	den
weg	weg
herfur	hervor
giengen	gingen
/	/
die	die
spotten	spotten
sein	sein
vnd	und
sprachen	sprachen
/	/
der	der
schacher	schächer
sprach	sprach
er	er
wolt	wollt
den	den
tempel	tempel
czerstorn	zerstören
vnd	und
in	in
drein	drei
tagen	tagen
widerpringen	wiederbringen
vnd	und
spraechen	sprachen
pist	bist
u	du
gotes	gottes
sun	sohn
gehaissen	geheissen
ge	gehe
ab	ab
dem	dem
chrewcz	kreuz
so	so
gelaub	glaube
wir	wir
an	an
dich	dich
/	/
also	also
taten	taten
auch	auch
der	der
iuden	juden
priester	priester
vnd	und
ir	ihr
schreiber	schreiber
vnd	und
sprachen	sprachen
anderen	anderen
leuten	leuten
hat	hat
er	er
gehoelffen	geholfen
nu	nun
helff	helfe
im	ihm
selber	selbst
seist	seist
du	du
es	es
der	der
chunig	könig
von	von
israhel	israel
so	so
ge	gehe
von	von
dem	deinem
chrewcz	kreuz
so	so
gelaub	glaube
wir	wir
an	an
dich	dich
/	/
vnd	und
sprachen	sprachen
er	er
hat	hat
got	gott
getrawt	getraut
er	er
lost	löst
in	ihn
er	er
sprach	sprach
er	er
wer	wäre
gocz	gottes
sun	sohn
/	/
do	da
sprach	sprach
anshelmus	anselm
/	/
waz	was
sprach	sprach
dein	dein
chind	kind
czu	zu
dem	dem
gespot	gespött
do	da
antwurt	antwortet
maria	maria
er	er
sprach	sprach
/	/
her	herr
vergib	vergib
ins	ihnen
wan	wann
sy	sie
wissent	wissen
nicht	nicht
daz	dass
sy	sie
sundent	sündigend
/	/
do	da
spotten	spotten
sy	sie
sein	sein
aber	aber
/	/
do	da
sprach	sprach
er	er
hor	höre
tochter	tochter
vnd	und
siech	siehe
meinen	meinen
grossen	grossen
nu	nun
waist	weisst
u	du
wol	wohl
wie	wie
ich	ich
enphangen	empfangen
wart	ward
von	von
dem	dem
heiligen	heiligen
geist	geist
vnd	und
daz	dass
du	du
in	in
der	der
vnd	und
nach	nach
der	der
purt	burt
magt	jungfrau
pelibt	bliebt
vnd	und
waist	weisst
woell	wohl
wie	wie
du	du
mich	mich
erzogen	erzogen
hast	hast
wellent	wollen
se	sie
sein	sein
nicht	nicht
gelauben	glauben
daz	dass
ich	ich
sey	sei
gotes	gottes
sun	sohn
so	so
gelaub	glaube
aber	aber
dv	du
es	es
leid	leide
mit	mit
mir	mir
do	da
durchstach	durchstach
aber	aber
ein	ein
sper	speer
meyn	mein
sell	seele
do	da
daz	das
der	der
schacher	schächer
czuo	zu
der	der
seitten	seiten
erhort	erhört
der	der
strafft	straft
in	ihn
vnd	und
sprach	sprach
seist	seist
du	du
gotes	gottes
sun	sohn
so	so
hilff	hilf
dier	dir
vnd	und
vns	uns
/	/
do	da
strafft	straft
in	ihn
der	der
czu	zu
der	der
rechten	rechten
hien	hin
hant	hand
vnd	und
sprach	sprach
/	/
furchtest	fürchtest
du	du
nicht	nicht
gott	gott
vnd	und
pist	bist
doch	doch
selben	selbst
noten	nöten
des	des
todes	todes
daz	dass
wir	wir
leiden	leiden
daz	das
hab	habe
wir	wir
verdient	verdient
aber	aber
der	der
mensch	mensch
der	der
hat	hat
niecht	nicht
vbel	übel
getann	getan
vnd	und
sprach	sprach
her	herr
gedenk	gedenke
mein	mein
wan	wann
du	du
chumst	kommst
in	in
deines	deines
vater	vater
reich	reich
/	/
do	da
sprach	sprach
ih-us	jesus
/	/
ich	ich
sag	sage
dier	dir
werleich	wahrlich
du	du
scholtt	sollt
heut	heute
mit	mit
mir	mir
sein	sein
in	in
dem	dem
paradeis	paradies
/	/
do	da
sprach	sprach
anshelmus	anselm
/	/
fraw	frau
waz	was
gedecht	gedacht
du	du
do	da
/	/
maria	maria
/	/
ich	ich
staind	stand
pey	bei
dem	dem
chrewcz	kreuz
voller	voller
travrichait	traurigkeit
daz	dass
ich	ich
im	ihm
nicht	nicht
gehelffenn	helfen
macht	mochte
vnd	und
stuenden	standen
pey	bei
mir	mir
mein	mein
czwo	zwei
swester	schwester
vnd	und
maria	maria
magdalena	magdalena
vnd	und
iohannes	johannes
vnd	und
do	da
mich	mich
mein	mein
chind	kind
sach	sah
vnd	und
iohannen	johannes
den	den
er	er
do	da
lieb	lieb
het	hat
do	da
chert	kehrte
er	er
sich	sich
czu	zu
mir	mir
vnd	und
sprach	sprach
nym	nimm
war	wahr
iohanes	johannes
daz	das
ist	ist
dein	dein
mueter	mutter
/	/
do	da
waz	war
iz	es
die	die
/	/
vnd	und
wart	ward
ain	ein
vber	über
alles	alles
edreich	erdreich
vnd	und
czu	zu
schrai	schreie
ih-us	jesus
mit	mit
lauter	lauter
stime	stimme
hely	hely
hely	hely
lamazabatani	lamazabatani
daz	das
spricht	spricht
mein	mein
got	gott
wye	wie
hast	hast
u	du
mich	mich
verlassen	verlassen
/	/
die	die
do	da
stunden	standen
die	die
sprachen	sprachen
er	er
ruefft	ruft
helyam	heiland
nu	nun
peit	beten
wir	wir
vnd	und
sechen	sehen
ob	ob
helias	helias
chom	komme
vnd	und
in	ihn
loz	löse
/	/
darnach	danach
west	weisst
got	gott
woell	wohl
daz	dass
es	es
alles	alles
volpracht	vollbracht
wird	wird
vnd	und
sprach	sprach
/	/
mich	mich
durst	dürstet
/	/
do	da
staind	stand
ain	ein
vaz	fass
mit	mit
ezzeich	essig
do	da
nam	nahm
ainer	einer
ainen	einen
padswan	badeschwamm
vnd	und
legt	legt
den	den
auff	auf
ain	ein
sper	speer
vnd	und
gab	gab
im	ihm
cze	zu
trinkchen	trinken
daz	dass
er	er
dester	desto
sturb	stürbe
/	/
do	da
er	er
sein	sein
do	da
enphieng	empfing
do	da
sprach	sprach
er	er
/	/
es	es
ist	ist
alles	alles
volpracht	vollbracht
darnach	danach
mit	mit
genaigten	geneigten
hawpp	haupt
gab	gab
er	er
seinen	seinen
geist	geist
auff	auf
/	/
darnach	danach
spielt	spielt
sich	sich
der	der
vmbvankch	umfang
des	des
tempel	tempel
von	von
oben	oben
vncz	bis
cze	zu
niden	nieder
vnd	und
sich	sich
die	die
stain	stein
vnd	und
pesunder	besonders
der	der
stain	stein
do	da
daz	das
/	/
chrewcz	kreuz
inne	inne
staind	stand
der	der
czerspielt	zerspielt
sich	sich
daz	dass
man	man
ain	ein
hant	hand
darein	darein
legt	legt
vnd	und
daz	das
edreich	erdreich
vnd	und
die	die
greber	gräber
taten	taten
sich	sich
auff	auf
vnd	und
stunden	standen
vil	viel
heiliger	heiliger
leichnam	leichnam
daravs	daraus
die	die
vor	vor
tod	tot
warn	waren
vnd	und
giengen	gingen
czu	zu
ierusaleet	jerusalem
in	in
die	die
stat	stadt
vnd	und
erschinen	erschienen
vil	viel
lewten	leuten
vnd	und
do	da
staind	stand
centurio	centurio
vnd	und
die	die
pey	bei
im	ihm
warn	waren
die	die
dy	die
dinkch	ding
die	die
do	da
geschachen	geschahen
die	die
erschrakchten	erschraken
sere	sehr
do	da
sprach	sprach
centurio	centurio
/	/
werleich	wahrlich
daz	das
ist	ist
gotes	gottes
sun	sohn
nempt	nehmt
war	wahr
wie	wie
alle	alle
element	element
mit	mit
im	ihm
leident	leidend
nur	nur
allain	allein
die	die
iuden	juden
die	die
sind	sind
erhort	erhört
es	es
staind	stand
auch	auch
vill	viel
volkes	volkes
dapey	dabei
chomen	kommen
czu	zu
in	ihn
selben	selbst
vnd	und
slugen	schlugen
an	an
ir	ihr
hercz	herz
vnd	und
stuenden	standen
auch	auch
seyn	sein
freunt	freund
vor	vor
hin	hin
dan	dann
vnd	und
auch	auch
sein	sein
chunden	kunden
vnd	und
sachen	sahen
daz	das
alles	alles
/	/
do	da
sprach	sprach
anshelmus	anselm
o	oh
aller	aller
liebstew	liebste
vraw	frau
het	hat
aber	aber
do	da
dein	dein
laid	leid
ain	ein
end	ende
vnd	und
deines	deines
chindes	kindes
do	da
sprach	sprach
maria	maria
nayn	nein
es	es
waz	war
symones	simons
weissagung	weissagung
dennoch	dennoch
nicht	nicht
volpracht	vollbracht
der	der
do	da
sprach	sprach
ein	ein
swert	schwert
scholt	sollt
mein	mein
hercz	herz
durchstechen	durchstechen
nu	nun
hor	höre
daz	das
chlegleich	kläglich
ist	ist
vber	über
es	es
alles	alles
/	/
paten	baten
die	die
iuden	juden
pilatum	pilatus
durch	durch
ir	ihr
hochzeit	hochzeit
daz	dass
er	er
zerprech	zerbreche
ire	ihre
pain	bein
do	da
chomen	kommen
die	die
ritter	ritter
vnd	und
prachen	brachen
dem	dem
ainen	einen
seine	seine
pain	bein
vnd	und
vnd	und
chom	kam
ain	ein
ritter	ritter
vnd	und
stach	stach
mein	mein
chind	kind
mit	mit
ainem	einem
sper	speer
in	in
sein	sein
seitten	seiten
vnd	und
in	in
sein	sein
hercz	herz
do	da
gie	ging
wasser	wasser
vnd	und
plut	blut
heraws	heraus
vnd	und
do	da
ich	ich
daz	das
sach	sah
daz	dass
se	sie
im	ihm
so	so
iemerkleichen	jämmerlichen
teten	taten
do	da
ward	ward
ich	ich
amachtig	ohnmächtig
vnd	und
durchstach	durchstach
aber	aber
ain	ein
swert	schwert
mein	mein
sell	seele
do	da
hub	hob
ich	ich
an	an
vnd	und
schray	schreie
vnd	und
chlagt	klagt
ich	ich
macht	mochte
nicht	nicht
mer	mehr
gewainen	weinen
von	von
dem	dem
daz	dass
ich	ich
alle	alle
dy	die
nacht	nacht
vnd	und
den	den
tag	tag
vber	über
waint	weint
het	hat
douon	davon
so	so
schray	schreie
ich	ich
vnd	und
prach	sprach
we	weh
mir	mir
suesses	süsses
chind	kind
meines	meines
wo	wo
ist	ist
nu	nun
aller	aller
meyn	mein
trost	trost
den	den
ich	ich
an	an
dir	dir
gehabt	gehabt
han	habe
wer	wer
geit	gibt
mir	mir
daz	dass
ich	ich
fur	für
dich	dich
sturb	stürbe
liebs	liebes
mein	mein
chind	kind
mit	mit
iemerkleicher	jammergleicher
chlagt	klagt
ich	ich
mein	mein
chind	kind
do	da
sprach	sprach
anshelmus	anselm
waz	was
geschach	geschah
darnach	danach
do	da
sprach	sprach
maria	maria
do	da
patt	bat
iosepp	joseph
von	von
aromathia	aramathia
pilatun	pilatus
daz	dass
er	er
im	ihm
den	den
toten	toten
leib	leib
geb	gebe
vnd	und
sprach	sprach
czu	zu
dem	dem
chunich	könig
geist	gibst
du	du
mir	mir
nicht	nicht
den	den
toten	toten
leib	leib
soe	so
verdirbt	verdirbt
die	die
allerschonist	allerschönste
vraw	frau
iunge	junge
des	des
iunlins	jünglings
mueter	mutter
der	der
do	da
getott	getötet
ist	ist
wan	wann
sy	sie
hat	hat
als	als
iemerkleiche	jämmerliche
chlag	klage
daz	dass
wir	wir
all	all
mit	mit
ir	ihr
czu	zu
chlagen	klagen
haben	haben
do	da
fragt	fragt
pilatus	pilatus
ob	ob
er	er
tod	tot
wer	wäre
vnd	und
do	da
er	er
do	da
hart	hört
von	von
centurione	centurio
von	von
disenn	diesen
dingen	dingen
die	die
do	da
geschechen	geschehen
warn	waren
do	da
gab	gab
er	er
ioseppen	joseph
den	den
toten	toten
leib	leib
ih-m	jesu
nu	nun
hor	höre
daz	das
gar	gar
ist	ist
wan	wann
do	da
iosepp	joseph
wolt	wollt
abnemenn	abnehmen
den	den
toten	toten
leip	leib
ih-u	jesu
do	da
stuend	stand
ich	ich
vnd	und
lugt	lugte
auff	auf
wann	wann
er	er
ainen	einen
arm	arm
erlost	erlöst
daz	dass
ich	ich
in	ihn
czu	zu
mir	mir
vieng	fing
daz	das
geschach	geschah
vnd	und
do	da
er	er
ab	ab
dem	dem
chrewcz	kreuz
genomen	genommen
ward	ward
do	da
legten	legten
sew	sie
in	ihn
auff	auf
die	die
erden	erden
drey	drei
griet	grad
von	von
dem	dem
chrewcz	kreuz
do	da
nam	nahm
ich	ich
sein	sein
hawpp	haupt
an	an
mein	mein
hercz	herz
vnd	und
waint	weint
pitterleichen	bitterlichen
we	weh
mir	mir
herczenliebes	herzenliebes
chind	kind
waz	was
trost	trost
han	habe
ich	ich
nun	nun
seind	seit
ich	ich
dich	dich
toten	toten
siech	siehe
do	da
leuff	lief
iohannes	johannes
czu	zu
mir	mir
wainend	weinend
we	weh
mir	mir
von	von
dem	dem
herczen	herzen
han	habe
ich	ich
getrunkchen	getrunken
vil	viel
sussichait	süssigkeit
vnd	und
nu	nun
trink	trinke
ich	ich
daraws	daraus
iamer	jammer
vnd	und
nott	not
do	da
chom	kam
petrus	petrus
daz	dass
er	er
sein	sein
verlaugent	verleugnet
het	hatte
do	da
waint	weint
er	er
gar	gar
pitterleichen	bitterlichen
vmb	um
do	da
chom	kam
maria	maria
magdalena	magdalena
vnd	und
waint	weint
vor	vor
in	ihn
allen	allen
vnd	und
viel	fiel
vmb	um
mein	mein
chind	kind
vnd	und
sprach	sprach
wer	wer
vergeit	vergibt
mir	mir
mein	mein
sunt	sünde
vnd	und
wer	wer
mich	mich
vor	vor
meiner	meiner
swester	schwester
vnd	und
vor	vor
symon	simon
do	da
lieffen	liefen
die	die
andern	anderen
auch	auch
dar	dar
vnd	und
chlagten	klagten
vnd	und
schriren	schrien
do	da
tet	tat
ainen	einen
trost	trost
nur	nur
seiner	seiner
mueter	mutter
vnd	und
seinen	seinen
iungern	jüngern
daz	dass
chain	kein
wunden	wunden
an	an
seinem	seinem
leib	leib
waz	war
an	an
die	die
funff	fünf
wunden	wunden
die	die
er	er
woltt	wollt
pehalten	behalten
an	an
den	den
iungisten	jüngsten
tag	tag
er	er
ward	ward
auch	auch
also	also
chlar	klar
als	als
ob	ob
er	er
nye	nie
hiett	hätte
mue	mühe
derliten	erlitten
do	da
ward	ward
die	die
mueter	mutter
vnd	und
die	die
iunger	jünger
ain	ein
wenig	wenig
getrost	getröstet
vnd	und
do	da
sew	sie
in	ihn
pegraben	begraben
wolten	wollten
do	da
habt	habt
ich	ich
den	den
leichnam	leichnam
vast	fest
vnd	und
lie	liess
in	ihn
nicht	nicht
gern	gern
pegraben	begraben
vnd	und
sprach	sprach
czu	zu
iohannes	johannes
lieber	lieber
iohannes	johannes
laz	lass
mir	mir
mein	mein
chind	kind
also	also
todes	totes
den	den
ich	ich
nicht	nicht
lemptig	lebendig
gehaben	haben
mag	mag
oder	oder
pegrab	begrabe
mich	mich
czu	zu
im	ihm
iohannes	johannes
der	der
sprach	sprach
o	oh
aller	aller
liebste	liebste
fraw	frau
nu	nun
waist	weisst
du	du
woll	wohl
daz	dass
es	es
anders	anders
nicht	nicht
mocht	mochte
gesein	sein
er	er
must	musst
erlosen	erlösen
alles	alles
menschleichs	menschliches
geschlecht	geschlecht
do	da
lie	liess
ich	ich
in	ihn
pegraben	begraben
aber	aber
vil	viel
vngern	ungern
vnd	und
do	da
man	man
in	ihn
in	in
daz	das
grab	grab
legt	legt
do	da
wer	wäre
ich	ich
gern	gern
czu	zu
im	ihm
hinein	hinein
gewesen	gewesen
do	da
lie	liess
mann	man
mich	mich
nicht	nicht
do	da
viel	fiel
ich	ich
so	so
gar	gar
iemerkleichen	jämmerlichen
auff	auf
daz	das
grab	grab
daz	dass
die	die
iunger	jünger
alle	alle
muesten	mussten
wainen	weinen
do	da
nam	nahm
mich	mich
iohannes	johannes
vnd	und
wolt	wollt
mich	mich
in	in
die	die
stat	stadt
weisen	weisen
von	von
dem	dem
grab	grab
do	da
tet	tat
ich	ich
so	so
gar	gar
iemerleichen	jämmerlichen
daz	dass
er	er
mich	mich
chawm	kaum
von	von
dem	dem
grab	grab
pracht	brachte
vnd	und
schray	schreie
iohannes	johannes
liber	lieber
freunt	freund
mein	mein
tue	tu
mir	mir
als	als
vnrecht	unrecht
nicht	nicht
daz	dass
du	du
mich	mich
schaidest	scheidest
von	von
meinem	meinem
lieben	lieben
chind	kind
vnd	und
las	lass
mych	mich
peleiben	bleiben
daz	dass
ich	ich
ersterb	ersterbe
und	und
teott	tat
als	als
chlagleich	kläglich
daz	dass
sy	sie
musten	mussten
wainen	weinen
do	da
nam	nahm
mich	mich
iohannes	johannes
vber	über
mein	mein
willen	willen
vnd	und
furt	führt
mich	mich
in	in
die	die
stat	stadt
vnd	und
do	da
mich	mich
daz	das
volkch	volk
sach	sah
also	also
gesprengt	gesprengt
mit	mit
dem	dem
pluet	blut
als	als
mir	mir
vnder	unter
dem	dem
chrewcz	kreuz
geschechen	geschehen
was	war
do	da
schriren	schrien
sy	sie
alle	alle
mit	mit
gemainer	gemeiner
styme	stimme
von	von
des	des
grossen	grossen
vnrecz	unrechts
daz	das
hewt	heute
geschechen	geschehen
ist	ist
czu	zu
ierusalem	jerusalem
an	an
der	der
aller	aller
schonisten	schönsten
frawn	frauen
vnd	und
an	an
irem	ihrem
chinde	kind
vnd	und
hulffen	halfen
mir	mir
cze	zu
chlagen	klagen
do	da
pelaib	bleibe
ich	ich
inmeiner	meiner
swester	schwester
haws	haus
vnd	und
von	von
grossem	grossem
herczenlaid	herzenleid
het	hat
ich	ich
chain	kein
chrafft	kraft
so	so
ich	ich
saz	sass
so	so
wolt	wollt
ich	ich
sein	sein
so	so
ich	ich
auffstund	aufstand
so	so
vil	fiel
ich	ich
wider	wieder
nyder	nieder
so	so
ich	ich
lag	lag
so	so
waz	war
ich	ich
pey	bei
meinem	meinem
chind	kind
vnd	und
pey	bei
dem	dem
grab	grab
vnd	und
wer	wäre
gern	gern
auffgestanden	aufgestanden
do	da
macht	mochte
ich	ich
von	von
chrankchait	krankheit
vnd	und
von	von
grossem	grossem
herczenlaid	herzenleid
nicht	nicht
ich	ich
chlagt	klagt
vnd	und
het	hat
grossen	grossen
iamer	jammer
nacht	nacht
vnd	und
tag	tag
vnd	und
mich	mich
chund	konnte
mein	mein
sun	sohn
ioh-s	johannes
nicht	nicht
getrosten	trösten
noch	noch
meyn	meine
swester	schwester
maria	maria
magdalena	magdalena
mich	mich
chuend	konnte
vil	viel
meiner	meiner
freunt	freund
nicht	nicht
getrosten	trösten
noch	noch
alle	alle
dew	die
mich	mich
sachen	sahen
vnd	und
wurden	wurden
die	die
wort	wort
an	an
mir	mir
erfult	erfüllt
die	die
ieremias	jeremias
vor	vor
lang	lang
her	her
het	hat
gesprochen	gesprochen
plorans	plorans
ploraui	ploraui
in	in
nochte	nochte
non	non
est	est
daz	das
sprichtt	spricht
sy	sie
waint	weint
tag	tag
vnd	und
nacht	nacht
die	die
warn	waren
an	an
iry	ihre
wangen	wangen
vnd	und
macht	mochte
sey	sie
nyemant	niemand
getrosten	trösten
vnder	unter
allen	allen
irn	ihren
freunden	freunden
awe	oweh
hor	höre
anshelmus	anselm
mein	mein
groz	gross
herczen	herzen
laid	leid
do	da
meyn	mein
swester	schwester
vnd	und
maria	maria
magdalena	magdalena
sich	sich
peraitten	bereiten
mit	mit
guter	guter
salben	salben
vnd	und
wolten	wollten
gen	gehen
czue	zu
meines	meines
chindes	kindes
grab	grab
vnd	und
wolten	wollten
meyn	mein
chind	kind
salben	salben
vnd	und
do	da
sy	sie
von	von
mir	mir
giengen	gingen
do	da
muest	musst
ich	ich
von	von
rechter	rechter
chrankchait	krankheit
peleiben	bleiben
in	in
dem	dem
haws	haus
daz	das
tet	tat
mir	mir
gar	gar
we	weh
daz	dass
mir	mir
viel	fiel
ain	ein
auff	auf
daz	das
ander	andere
daz	dass
ich	ich
mit	mit
den	den
lieben	lieben
frawen	frauen
dar	dar
nicht	nicht
chomen	kommen
mocht	mochte
do	da
waz	war
mein	mein
hercz	herz
alle	alle
tag	tag
pey	bei
im	ihm
vnd	und
gedacht	gedacht
an	an
sein	sein
czartes	zartes
antlucz	antlitz
daz	dass
ich	ich
dich	dick
froleich	fröhlich
han	habe
gesechen	gesehen
vnd	und
an	an
sein	sein
suesse	süsse
wort	wort
die	die
im	ihm
von	von
seinen	seinem
mund	mund
dikch	dick
warn	waren
geflossen	geflossen
vnd	und
wie	wie
er	er
verraten	verraten
wazz	war
von	von
seinen	seinen
freunten	freunden
vnd	und
waz	was
er	er
stoz	stoss
vnd	und
gespocz	gespöttes
het	hat
enphangen	empfangen
vnd	und
do	da
er	er
vor	vor
gericht	gericht
stund	stand
do	da
wazz	war
ain	ein
gros	gross
geschrai	geschrei
an	an
in	ihn
vnd	und
wie	wie
sein	sein
vor	vor
herodes	herodes
verspot	verspottet
waz	war
vnd	und
wie	wie
die	die
moerder	mörder
aus	aus
der	der
statt	stadt
mit	mit
im	ihm
gefurt	geführt
wurden	wurden
vnd	und
wie	wie
er	er
getrenkcht	getränkt
waerd	ward
mit	mit
esseich	essig
vnd	und
mit	mit
gallen	gallen
vnd	und
mit	mit
mirren	myrrhen
vnd	und
do	da
er	er
mit	mit
grosser	grosser
stime	stimme
schray	schreie
mich	mich
durst	dürstet
daz	das
waz	war
nach	nach
hayl	heil
menschleichs	menschliches
chune	künne
vnd	und
daz	dass
im	ihm
ezzeich	essig
cze	zu
trinkchen	trinken
gaben	gaben
vnd	und
sew	sie
dennoch	dennoch
nicht	nicht
genugt	genügt
sich	sie
rechen	rächen
sich	sich
dennoch	dennoch
an	an
seinem	seinem
toten	toten
leib	leib
vnd	und
stochen	stachen
im	ihm
ain	ein
sper	speer
in	in
sein	sein
seitten	seiten
vnd	und
do	da
ich	ich
daz	das
alles	alles
pedacht	bedacht
do	da
schray	schreie
ich	ich
mit	mit
lauter	lauter
styme	stimme
got	gott
vnd	und
mensch	mensch
schepffer	schöpfer
von	von
hymel	himmel
vnd	und
von	von
erd	erde
vnd	und
aller	aller
creatur	kreatur
wie	wie
recht	recht
pitterleichen	bitterlichen
.	.
du	du
von	von
dem	dem
menschen	menschen
getrost	getröstet
pist	bist
durch	durch
daz	das
du	du
dy	die
menschait	menschheit
von	von
deiner	deiner
diern	dirn
nempt	nehmt
an	an
dich	dich
die	die
dy	die
hymel	himmel
noch	noch
daz	das
erdreich	erdreich
noch	noch
daz	das
mer	meer
pegreiffen	begreifen
mocht	mochte
der	der
leit	liegt
peslossen	beschlossen
in	in
ainem	einem
stain	stein
awe	oweh
der	der
ewig	ewig
vnd	und
gott	gott
